epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.27,1.80523,2.81415,1.00267,0.75881,0.76218,0.77911,0.37441,1.95201,1.80507,0.95938,0.000663877,0.000663877,0.000663877
2,1862.55,1.80308,1.19818,0.98566,0.79728,0.75174,0.79801,0.37983,1.96637,1.14562,0.9714,0.00131298,0.00131298,0.00131298
3,2771.91,1.78141,1.08542,0.98636,0.80826,0.74594,0.82032,0.40868,1.77475,1.12853,0.93726,0.00194448,0.00194448,0.00194448
4,3677.36,1.70318,1.06356,0.96319,0.85038,0.81206,0.85782,0.42406,1.91411,1.05436,0.95435,0.0019208,0.0019208,0.0019208
5,4586.15,1.64544,0.98007,0.95252,0.80708,0.77164,0.84717,0.44667,1.71895,0.97249,0.91509,0.0018944,0.0018944,0.0018944
6,5493.76,1.66687,0.95923,0.94895,0.84546,0.79814,0.87158,0.46368,1.73191,0.99218,0.92036,0.001868,0.001868,0.001868
7,6400.67,1.58778,0.9358,0.94381,0.88452,0.79582,0.87863,0.47433,1.67342,0.88056,0.91716,0.0018416,0.0018416,0.0018416
8,7309.71,1.57588,0.90769,0.94381,0.86897,0.82321,0.88376,0.45096,1.80132,0.91284,0.92667,0.0018152,0.0018152,0.0018152
9,8215.99,1.59024,0.89369,0.93459,0.85627,0.81671,0.87152,0.43082,1.81932,0.92063,0.93366,0.0017888,0.0017888,0.0017888
10,9123.56,1.53303,0.85204,0.92165,0.86227,0.86311,0.8902,0.46863,1.7471,0.93643,0.91719,0.0017624,0.0017624,0.0017624
11,10029.7,1.49975,0.83579,0.92727,0.88687,0.87308,0.91077,0.47816,1.73589,0.8083,0.91259,0.001736,0.001736,0.001736
12,10935.6,1.51868,0.86566,0.92317,0.83544,0.87756,0.89899,0.47132,1.67619,0.8508,0.91072,0.0017096,0.0017096,0.0017096
13,11844.3,1.49883,0.83743,0.9263,0.87964,0.89095,0.87345,0.4226,1.85236,0.89599,0.92983,0.0016832,0.0016832,0.0016832
14,12752.4,1.52358,0.86386,0.91817,0.90517,0.88399,0.92378,0.50847,1.60001,0.81288,0.90191,0.0016568,0.0016568,0.0016568
15,13668.3,1.47979,0.81517,0.91567,0.89932,0.85383,0.89626,0.50455,1.56123,0.82971,0.8906,0.0016304,0.0016304,0.0016304
16,14582,1.5201,0.78326,0.92843,0.89343,0.88502,0.91773,0.46817,1.74082,0.8513,0.9169,0.001604,0.001604,0.001604
17,15494.1,1.44585,0.77552,0.9216,0.90212,0.89814,0.93142,0.5059,1.64488,0.77953,0.90018,0.0015776,0.0015776,0.0015776
18,16406.2,1.46174,0.78981,0.91017,0.9098,0.87355,0.92631,0.50784,1.70785,0.79654,0.91157,0.0015512,0.0015512,0.0015512
19,17316.4,1.44311,0.77011,0.91399,0.93327,0.91299,0.93551,0.51737,1.59611,0.75583,0.89648,0.0015248,0.0015248,0.0015248
20,18225.3,1.4599,0.75446,0.91829,0.91521,0.90155,0.9332,0.51768,1.55587,0.7703,0.88895,0.0014984,0.0014984,0.0014984
21,19134.6,1.44173,0.75248,0.90503,0.9021,0.86427,0.92446,0.50269,1.66949,0.78394,0.89722,0.001472,0.001472,0.001472
22,20045.4,1.48746,0.77355,0.91145,0.93061,0.88679,0.93262,0.47918,1.75797,0.78111,0.91132,0.0014456,0.0014456,0.0014456
23,20956.8,1.43038,0.77386,0.91112,0.92783,0.87996,0.92278,0.51492,1.58355,0.77278,0.89268,0.0014192,0.0014192,0.0014192
24,21865.1,1.41848,0.74771,0.9021,0.91023,0.87123,0.93171,0.5232,1.5949,0.76746,0.88713,0.0013928,0.0013928,0.0013928
25,22771.8,1.40689,0.7557,0.90992,0.92055,0.90053,0.94396,0.54495,1.54728,0.75518,0.88734,0.0013664,0.0013664,0.0013664
26,23678.7,1.37141,0.72574,0.89754,0.91118,0.91637,0.93053,0.50699,1.63588,0.76707,0.89489,0.00134,0.00134,0.00134
27,24584.4,1.43521,0.74167,0.90581,0.91969,0.91531,0.93609,0.48694,1.71137,0.80421,0.90688,0.0013136,0.0013136,0.0013136
28,25490.9,1.39722,0.71581,0.89743,0.92165,0.90067,0.94605,0.52577,1.60376,0.75885,0.88553,0.0012872,0.0012872,0.0012872
29,26398.7,1.37704,0.71309,0.88773,0.9185,0.90487,0.93051,0.52633,1.57225,0.74159,0.87671,0.0012608,0.0012608,0.0012608
30,27306.6,1.39082,0.71228,0.89433,0.93514,0.90324,0.94385,0.55588,1.48122,0.72526,0.87625,0.0012344,0.0012344,0.0012344
31,28214.3,1.3525,0.69314,0.89616,0.92187,0.90835,0.95344,0.53127,1.60501,0.73849,0.89107,0.001208,0.001208,0.001208
32,29122.4,1.37574,0.72121,0.89594,0.91538,0.90354,0.94893,0.53774,1.56515,0.74565,0.88397,0.0011816,0.0011816,0.0011816
33,30032.7,1.35157,0.70023,0.88715,0.91975,0.90023,0.93933,0.51772,1.61674,0.76642,0.89288,0.0011552,0.0011552,0.0011552
34,30940.4,1.36917,0.71195,0.89296,0.92887,0.89381,0.94403,0.53303,1.55028,0.73918,0.88655,0.0011288,0.0011288,0.0011288
35,31848.7,1.3321,0.69415,0.88487,0.89554,0.91067,0.93627,0.54213,1.50915,0.72405,0.87719,0.0011024,0.0011024,0.0011024
36,32755.5,1.31771,0.68108,0.88376,0.90567,0.89559,0.93798,0.55324,1.49542,0.71341,0.87559,0.001076,0.001076,0.001076
37,33664.7,1.33877,0.70412,0.89343,0.92653,0.90371,0.95486,0.58255,1.40205,0.70032,0.86041,0.0010496,0.0010496,0.0010496
38,34571.8,1.30353,0.67417,0.87809,0.93143,0.92979,0.9566,0.56707,1.44887,0.67814,0.86597,0.0010232,0.0010232,0.0010232
39,35478.3,1.34011,0.68627,0.88634,0.93554,0.90915,0.95363,0.5791,1.41342,0.69007,0.86305,0.0009968,0.0009968,0.0009968
40,36383.8,1.28731,0.65992,0.87996,0.92516,0.91415,0.95229,0.58847,1.37982,0.67836,0.85916,0.0009704,0.0009704,0.0009704
41,37292.3,1.28992,0.65456,0.87826,0.9424,0.93003,0.95717,0.58852,1.40714,0.6739,0.85694,0.000944,0.000944,0.000944
42,38202.7,1.30366,0.6617,0.87882,0.92987,0.90255,0.94591,0.5682,1.46393,0.69423,0.86732,0.0009176,0.0009176,0.0009176
43,39111.6,1.27807,0.65697,0.88139,0.93488,0.91067,0.96213,0.59191,1.40259,0.68919,0.8615,0.0008912,0.0008912,0.0008912
44,40021.5,1.28382,0.66998,0.87657,0.92911,0.92745,0.94693,0.57221,1.45333,0.67524,0.86329,0.0008648,0.0008648,0.0008648
45,40929,1.25504,0.63847,0.87183,0.93916,0.93039,0.9547,0.60059,1.35941,0.65626,0.85796,0.0008384,0.0008384,0.0008384
